SECTOR,YEAR,CENTRALITY,N_MAKE,N_USE,PCT_MAKE,PCT_USE
65.0,2014.0,-0.04482275,37.0,97.0,0.18747275381989847,0.93133175623381
66.0,2014.0,0.034508938,27.0,168.0,0.03513977200569518,0.8716044345190808
67.0,2014.0,0.034508938,23.0,117.0,0.07964055337894127,0.9194285423129014
68.0,2014.0,-0.105489182,17.0,74.0,0.04104777209205124,0.8659011048612766
69.0,2014.0,0.025111548,38.0,160.0,0.08167714217134037,0.8781083554489951
70.0,2014.0,0.025111548,22.0,149.0,0.15398819344912873,0.9293631306928551
71.0,2014.0,-0.019558595,18.0,114.0,0.2812027890142743,0.8525646680874069
72.0,2014.0,-0.015103413,11.0,54.0,0.05665255099733146,0.9788661568639115
73.0,2014.0,0.003110394,31.0,145.0,0.2133171637002368,0.923859794389692
74.0,2014.0,0.003110394,33.0,128.0,0.10898382539414597,0.8949795965692341
75.0,2014.0,0.007966826,8.0,90.0,0.1542140218984679,0.9619823088015564
76.0,2014.0,0.007966826,19.0,123.0,0.0667807099905926,0.9785987707171885
77.0,2014.0,-0.083207907,16.0,30.0,0.03760104001577691,0.9904518224086666
78.0,2014.0,-0.047444053,24.0,148.0,0.08725611120994059,0.9082315591723422
79.0,2014.0,-0.047444053,35.0,133.0,0.06688129135738974,0.9568583616339756
80.0,2014.0,-0.065146147,8.0,8.0,0.00940084579366085,0.8277610633638186
81.0,2014.0,-0.065146147,16.0,19.0,0.13118966894095785,0.6122600968580909
82.0,2014.0,0.012012961,45.0,181.0,0.07163436185835037,0.8785744527205566
83.0,2014.0,0.012012961,29.0,10.0,0.09971649523442194,0.29502356140362285
84.0,2014.0,-0.008839715,12.0,11.0,0.024769405120548704,0.34923483831380886
85.0,2014.0,-0.008839715,14.0,7.0,0.03784186012493784,0.9462146300245734
86.0,2014.0,-0.026646606,19.0,29.0,0.06889596544007881,0.2744144040601981
87.0,2014.0,-0.026646606,25.0,59.0,0.08338078450803765,0.9870931008687402
88.0,2014.0,0.006319484,24.0,48.0,0.07249581270812255,0.9442079057808525
89.0,2014.0,0.196771386,16.0,7.0,0.05218915189277906,0.4296438991669944
90.0,2014.0,0.196771386,35.0,73.0,0.11819508064529427,0.9197473876906646
91.0,2014.0,-0.147087577,45.0,148.0,0.1429116085895552,0.8642318640852642
92.0,2014.0,0.087334915,31.0,188.0,0.05901012294304708,0.9379489036013688
93.0,2014.0,0.087334915,13.0,161.0,0.3137666633883436,0.9214043912006413
94.0,2014.0,-0.071381248,10.0,170.0,0.10947337554403425,0.9859058090745201
95.0,2014.0,-0.071381248,17.0,177.0,0.08238662640989658,0.9981369633760705
96.0,2014.0,0.092578058,29.0,177.0,0.06105376991079137,0.9868810159871405
97.0,2014.0,0.092578058,9.0,188.0,0.015495659085640323,0.9980371389680478
98.0,2014.0,-0.002978902,4.0,188.0,0.028659431897660292,0.9967680914729818
99.0,2014.0,-0.002978902,6.0,188.0,0.05445052297809261,0.9997044503133733
100.0,2014.0,-0.037271934,9.0,188.0,0.03492636471311428,0.9670648191647562
101.0,2014.0,-0.037271934,9.0,176.0,0.0030076906767539935,1.0
102.0,2014.0,-0.026801596,4.0,187.0,0.004878747278512896,0.9999503390287612
103.0,2014.0,0.012989452,21.0,155.0,0.0388367081208737,0.8249062016608553
104.0,2014.0,0.012989452,12.0,92.0,0.006520113206083922,0.9836079292468729
105.0,2014.0,-0.025936694,8.0,176.0,0.018490625941062766,0.9088958966379974
106.0,2014.0,-0.025936694,14.0,135.0,0.47340934015498215,0.8275991971205247
107.0,2014.0,-0.16501895,7.0,178.0,0.23718113935065888,0.7508318201601091
108.0,2014.0,-0.16501895,11.0,77.0,0.024382306938942278,0.6978862661397159
109.0,2014.0,-0.039128837,10.0,14.0,0.7048936037241966,0.24791301725978443
110.0,2014.0,-0.039128837,9.0,2.0,0.751647442350065,0.7494081853070846
111.0,2014.0,0.048078062,11.0,188.0,0.06797508728593704,0.8182986134293231
112.0,2014.0,0.036752888,10.0,184.0,0.13822297759619384,0.8774684308892674
113.0,2014.0,0.036752888,10.0,188.0,0.3864758567091101,0.9723258202024253
114.0,2014.0,0.080567519,11.0,179.0,0.21690340525168816,0.9887307129100369
115.0,2014.0,0.080567519,11.0,111.0,0.5564682342595177,0.8817125726875248
116.0,2014.0,0.028154987,6.0,188.0,0.13039794629209667,0.9231328408406941
117.0,2014.0,0.028154987,5.0,188.0,0.035553228637099976,0.697788901240962
118.0,2014.0,-0.029035668,4.0,187.0,0.01708985396555751,0.8037028989165783
119.0,2014.0,-0.029035668,5.0,184.0,0.006920530410076342,0.5390338718437667
120.0,2014.0,-0.020302876,7.0,188.0,0.00016264339174931752,0.8870609469810181
121.0,2014.0,-0.020302876,10.0,187.0,0.017592239753440153,0.9954380167000383
122.0,2014.0,0.06512268,13.0,166.0,0.18135308716891563,0.9982782288080043
123.0,2014.0,0.06512268,14.0,186.0,0.09574031269263439,0.9839923029118093
124.0,2014.0,-0.127524242,4.0,182.0,0.006705383279047683,0.9843306231323637
125.0,2014.0,-0.076888252,4.0,186.0,0.003339609432398083,0.9869724546604306
126.0,2014.0,0.060744515,5.0,188.0,0.028025356012761904,0.9854736366825547
127.0,2014.0,-0.0962964,7.0,188.0,0.030106852602826084,0.9461173262406878
128.0,2014.0,-0.0962964,9.0,181.0,0.06257362325433469,0.9960260755708379
